SUBJECT,Subject,LOCATION,Country,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference,Reference Period,Value,Flag Codes,Flags
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",DNK,Denmark,M,Monthly,1/19/2019,1/19/2019,IDX,Index,0,Units,,,99.56738,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",DNK,Denmark,M,Monthly,2/19/2019,2/19/2019,IDX,Index,0,Units,,,99.47775,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",DNK,Denmark,M,Monthly,3/19/2019,3/19/2019,IDX,Index,0,Units,,,99.43443,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",DNK,Denmark,M,Monthly,4/19/2019,4/19/2019,IDX,Index,0,Units,,,99.38128,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",DNK,Denmark,M,Monthly,5/19/2019,5/19/2019,IDX,Index,0,Units,,,99.29477,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",DNK,Denmark,M,Monthly,6/19/2019,6/19/2019,IDX,Index,0,Units,,,99.05692,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",DNK,Denmark,M,Monthly,7/19/2019,7/19/2019,IDX,Index,0,Units,,,98.90218,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",DNK,Denmark,M,Monthly,8/19/2019,8/19/2019,IDX,Index,0,Units,,,98.85947,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",FIN,Finland,M,Monthly,9/17/2019,9/17/2019,IDX,Index,0,Units,,,101.4639,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",FIN,Finland,M,Monthly,10/17/2019,10/17/2019,IDX,Index,0,Units,,,101.7214,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",FIN,Finland,M,Monthly,11/17/2019,11/17/2019,IDX,Index,0,Units,,,101.9906,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",FIN,Finland,M,Monthly,12/17/2019,12/17/2019,IDX,Index,0,Units,,,102.1767,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",FIN,Finland,M,Monthly,1/18/2019,1/18/2019,IDX,Index,0,Units,,,102.0978,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",FIN,Finland,M,Monthly,2/18/2019,2/18/2019,IDX,Index,0,Units,,,101.8746,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",FIN,Finland,M,Monthly,3/18/2019,3/18/2019,IDX,Index,0,Units,,,101.6701,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",FIN,Finland,M,Monthly,4/18/2019,4/18/2019,IDX,Index,0,Units,,,101.6469,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",FIN,Finland,M,Monthly,5/18/2019,5/18/2019,IDX,Index,0,Units,,,101.7587,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",FIN,Finland,M,Monthly,6/18/2019,6/18/2019,IDX,Index,0,Units,,,101.9797,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",FIN,Finland,M,Monthly,7/18/2019,7/18/2019,IDX,Index,0,Units,,,102.0902,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",FIN,Finland,M,Monthly,8/18/2019,8/18/2019,IDX,Index,0,Units,,,101.8976,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",FIN,Finland,M,Monthly,9/18/2019,9/18/2019,IDX,Index,0,Units,,,101.5248,,
